Group_ID,Galaxy_ID,zs,RA,DEC,zp,zp_Upper,zp_Lower,zp_prob,groupdist,log10_M,Class,R200,R200_err,morph_zurich_match,morph_zurich_d2d,morph_zurich_flag,griffith_match,griffith_d2d,griffith_flag,ultravista_match,ultravista_d2d,ultravista_flag,ch1,J,V,zpband
130,1022059,-99.99,149.99698,2.272629,0.86,0.03,0.03,0.16,2.07,9.83,sf,1.04,0.12,69601,0.082352846,FALSE,88124,0.081357322,FALSE,125554,0.037169499,FALSE,12.276,9.67,1.275,5.991
130,1022456,-99.99,150.03173,2.27248,1.11,0.05,0.09,0.14,1.91,9.51,sf,1.04,0.12,69440,11.73549092,TRUE,88666,0.055792577,FALSE,125510,0.07905104,FALSE,2.687,3.769,0.669,2.233
130,1023168,-99.99,150.03954,2.262834,0.96,0.02,0.01,0.43,1.68,9.8,sf,1.04,0.12,69398,0.044450622,FALSE,88175,0.038478154,FALSE,124783,0.128936146,FALSE,17.84,14.169,3.533,9.885
130,1023174,-99.99,150.04205,2.266205,0.98,0.07,0.07,0.33,1.79,10.02,p,1.04,0.12,69378,6.616038977,TRUE,245362,0.083671693,FALSE,125037,0.10836,FALSE,11.124,4.438,0.103,1.751
130,1023612,-99.99,150.05404,2.264875,0.92,0.02,0.05,0.58,1.88,10.26,sf,1.04,0.12,68037,0.080729224,FALSE,88160,0.086143945,FALSE,125002,0.147180627,FALSE,34.235,15.397,0.996,8.305
130,1023770,-99.99,150.0332,2.263514,0.93,0.01,0.01,0.83,1.66,9.6,sf,1.04,0.12,69436,0.077130105,FALSE,88172,0.091403399,FALSE,124837,0.114344415,FALSE,9.09,7.738,2.268,6.401
130,1023972,-99.99,150.00285,2.261996,1.05,0.03,0.06,0.16,1.72,9.88,sf,1.04,0.12,69555,3.364955355,TRUE,88741,0.129526917,FALSE,124674,0.073590453,FALSE,15.219,6.886,0.284,3.152
130,1024785,-99.99,150.06035,2.25555,0.97,0.02,0.04,0.41,1.75,10.14,sf,1.04,0.12,68079,0.1074048,FALSE,88225,0.098315307,FALSE,124251,0.111242677,FALSE,23.776,10.111,0.839,5.134
130,1024886,0.9304,150.00597,2.248823,0.86,0.07,0.03,1,1.34,10,sf,1.04,0.12,69811,0.098444852,FALSE,88274,0.149382572,FALSE,123838,0.124062407,FALSE,14.233,10.302,2.49,8.174
130,1024969,-99.99,150.00224,2.255563,0.86,0.07,0.04,0.26,1.56,9.71,int,1.04,0.12,69568,9.649055595,TRUE,88766,0.034426562,FALSE,124208,0.06372,FALSE,10.921,5.354,0.311,2.951
130,1025431,-99.99,149.97584,2.250595,0.95,0.02,0.01,0.7,1.9,9.52,sf,1.04,0.12,90994,0.188826198,FALSE,89158,0.198280535,FALSE,123863,0.036912867,FALSE,6.481,6.861,2.198,5.991
130,1025525,-99.99,150.04916,2.251764,0.9,0.03,0.01,0.33,1.48,9.74,sf,1.04,0.12,68028,0.077734731,FALSE,88252,0.089098545,FALSE,123955,0.113877317,FALSE,11.594,8.562,1.506,5.826
130,1026012,0.9373,150.0589,2.246569,0.98,0.02,0.05,1,1.52,10.31,sf,1.04,0.12,68077,0.060297599,FALSE,86079,0.240353507,FALSE,123675,0.08404719,FALSE,53.624,26.386,3.495,16.503
130,1026018,-99.99,150.00896,2.248358,0.85,0.04,0.01,0.18,1.29,9.71,sf,1.04,0.12,69798,0.103865741,FALSE,88276,0.124045924,FALSE,123730,0.127921941,FALSE,10.581,9.443,2.094,6.966
130,1026413,-99.99,149.97872,2.244812,0.9,0.01,0.02,0.23,1.73,10.61,p,1.04,0.12,90974,0.091565989,FALSE,88292,0.086690694,FALSE,123440,0.072204577,FALSE,45.822,18.797,0.576,9.507
130,1027886,0.9301,150.03466,2.233698,0.93,0.01,0.01,1,0.83,10.3,sf,1.04,0.12,69670,0.057725052,FALSE,88360,0.059723426,FALSE,122510,0.066088008,FALSE,21.541,17.478,3.355,12.485
130,1028015,0.9406,149.96817,2.233136,0.93,0.01,0.01,1,1.81,10.44,sf,1.04,0.12,91012,0.003318917,FALSE,89263,0.048203364,FALSE,122589,0.184171025,FALSE,64.039,26.251,3.335,15.254
130,1028667,0.9262,150.05657,2.230756,0.93,0.01,0.01,1,1.15,9.75,sf,1.04,0.12,68324,0.040732591,FALSE,88378,0.122024008,FALSE,122356,0.144150035,FALSE,17.648,8.951,1.617,6.022
130,1028776,0.9351,150.03811,2.22983,0.93,0.01,0.07,1,0.77,10.77,int,1.04,0.12,69642,0.106195555,FALSE,88387,0.118021297,FALSE,122308,0.079660481,FALSE,78.6,35.561,2.136,18.892
